Device,Mean_All,Min_All,Max_All,Percent_Above_900_All,Percent_Above_1200_All,Mean_Op,Min_Op,Max_Op,Percent_Above_900_Op,Percent_Above_1200_Op
1314_leefruimte_neerhof,672.608870967742,400.0,1424.0,20.29569892473118,5.913978494623656,809.3390151515151,401.0,1360.0,35.984848484848484,11.742424242424242
486_kamer34,575.3644025780862,408.0,964.0,0.44620723847297966,0.0,608.53078202995,416.0,964.0,0.9983361064891847,0.0
509_kamer96,838.0536246276067,405.0,1848.0,38.43098311817279,21.89672293942403,678.3612040133779,415.0,1319.0,12.37458193979933,1.5050167224080269
530_kamer5,547.4518849206349,412.0,893.0,0.0,0.0,530.61,412.0,893.0,0.0,0.0
592_cafetaria,454.87915818058383,400.0,651.0,0.0,0.0,483.5302144249513,400.0,641.0,0.0,0.0
