Device,Mean_All,Min_All,Max_All,Percent_Under_900_All,Percent_Under_1200_All,Mean_Op,Min_Op,Max_Op,Percent_Under_900_Op,Percent_Under_1200_Op
Cafetaria,458.304469273743,400.0,651.0,100.0,100.0,483.23446327683615,400.0,629.0,100.0,100.0
Kamer 34,635.7112740604949,453.0,964.0,99.17506874427131,100.0,631.0198300283286,453.0,964.0,98.30028328611898,100.0
Kamer 5,591.8301193755739,412.0,873.0,100.0,100.0,522.5014245014245,412.0,734.0,100.0,100.0
Kamer 96,1011.6452795600367,436.0,1848.0,42.16315307057745,71.21906507791017,731.1960227272727,436.0,1244.0,81.5340909090909,98.29545454545455
Leefruimt Neerhof,740.1709558823529,401.0,1424.0,72.42647058823529,91.72794117647058,930.844192634561,481.0,1360.0,46.742209631728045,82.15297450424929
